policy_id,augmentation_method,synthetic_multiplier,min_neighbor_similarity,teacher_model,augmentation_random_state,n_real_train,n_synthetic_train,augmentation_factor,synthetic_weighting_enabled,mean_synthetic_weight,min_synthetic_weight,max_synthetic_weight,feature_kind,n_features,model,selected_policy,split,metric,value,fold_index,train_fraction,split_method,group_column,heldout_group_value
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_rf__seed_1,condition_recombine_pseudolabel,0.25,0.7,random_forest,1,31,7,1.2258064516129032,True,0.7840236561638968,0.7484662532806396,0.85,reaction_role_concat,6144,random_forest,False,valid,spearman,0.31103284798927744,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_rf__seed_2,condition_recombine_pseudolabel,0.25,0.7,random_forest,2,31,7,1.2258064516129032,True,0.8090292658124651,0.7324841022491455,0.85,reaction_role_concat,6144,random_forest,False,valid,rmse,26.41627726551089,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_rf__seed_2,condition_recombine_pseudolabel,0.25,0.7,random_forest,2,31,7,1.2258064516129032,True,0.8090292658124651,0.7324841022491455,0.85,reaction_role_concat,6144,random_forest,False,valid,mae,21.74390845313706,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_rf__seed_2,condition_recombine_pseudolabel,0.25,0.7,random_forest,2,31,7,1.2258064516129032,True,0.8090292658124651,0.7324841022491455,0.85,reaction_role_concat,6144,random_forest,False,valid,r2,0.0906811632196316,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_rf__seed_2,condition_recombine_pseudolabel,0.25,0.7,random_forest,2,31,7,1.2258064516129032,True,0.8090292658124651,0.7324841022491455,0.85,reaction_role_concat,6144,random_forest,False,valid,spearman,0.3326805310657455,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_rf__seed_3,condition_recombine_pseudolabel,0.25,0.7,random_forest,3,31,7,1.2258064516129032,True,0.8189814618655612,0.7876712083816528,0.85,reaction_role_concat,6144,random_forest,False,valid,rmse,27.396403847647452,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_rf__seed_3,condition_recombine_pseudolabel,0.25,0.7,random_forest,3,31,7,1.2258064516129032,True,0.8189814618655612,0.7876712083816528,0.85,reaction_role_concat,6144,random_forest,False,valid,mae,22.33263317324542,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_rf__seed_3,condition_recombine_pseudolabel,0.25,0.7,random_forest,3,31,7,1.2258064516129032,True,0.8189814618655612,0.7876712083816528,0.85,reaction_role_concat,6144,random_forest,False,valid,r2,0.021952205557537297,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_rf__seed_3,condition_recombine_pseudolabel,0.25,0.7,random_forest,3,31,7,1.2258064516129032,True,0.8189814618655612,0.7876712083816528,0.85,reaction_role_concat,6144,random_forest,False,valid,spearman,0.2852553056678379,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_rf__seed_4,condition_recombine_pseudolabel,0.25,0.7,random_forest,4,31,7,1.2258064516129032,True,0.7994841473443167,0.7631579041481018,0.85,reaction_role_concat,6144,random_forest,False,valid,rmse,27.505848507001822,0,0.01,random,,
