train_fraction,split_method,group_column,feature_kind,n_features,model,split,metric,value
0.2,random,,reaction_role_concat,6144,ridge,valid,rmse,15.893001874199914
0.2,random,,reaction_role_concat,6144,ridge,valid,mae,12.740231000698065
0.2,random,,reaction_role_concat,6144,ridge,valid,r2,0.6839005330116614
0.2,random,,reaction_role_concat,6144,ridge,valid,spearman,0.8608380546363212
0.2,random,,reaction_role_concat,6144,ridge,test,rmse,15.427332069893115
0.2,random,,reaction_role_concat,6144,ridge,test,mae,12.361959310342566
0.2,random,,reaction_role_concat,6144,ridge,test,r2,0.6996116473471201
0.2,random,,reaction_role_concat,6144,ridge,test,spearman,0.857471161685629
0.2,random,,reaction_role_concat,6144,random_forest,valid,rmse,10.753122553168474
0.2,random,,reaction_role_concat,6144,random_forest,valid,mae,7.5397366848378145
0.2,random,,reaction_role_concat,6144,random_forest,valid,r2,0.8552958170960427
0.2,random,,reaction_role_concat,6144,random_forest,valid,spearman,0.9201684945253463
0.2,random,,reaction_role_concat,6144,random_forest,test,rmse,12.4617201901607
0.2,random,,reaction_role_concat,6144,random_forest,test,mae,8.278635127001932
0.2,random,,reaction_role_concat,6144,random_forest,test,r2,0.8039993891283472
0.2,random,,reaction_role_concat,6144,random_forest,test,spearman,0.8886089032812491
0.5,random,,reaction_role_concat,6144,ridge,valid,rmse,15.76317890492837
0.5,random,,reaction_role_concat,6144,ridge,valid,mae,12.714907659986352
0.5,random,,reaction_role_concat,6144,ridge,valid,r2,0.6890435972600637
0.5,random,,reaction_role_concat,6144,ridge,valid,spearman,0.8627941701366311
0.5,random,,reaction_role_concat,6144,ridge,test,rmse,15.355270894891351
0.5,random,,reaction_role_concat,6144,ridge,test,mae,12.288051338207842
0.5,random,,reaction_role_concat,6144,ridge,test,r2,0.7024113255357523
0.5,random,,reaction_role_concat,6144,ridge,test,spearman,0.8582658043801569
0.5,random,,reaction_role_concat,6144,random_forest,valid,rmse,8.527664387525618
0.5,random,,reaction_role_concat,6144,random_forest,valid,mae,5.8821592102637865
0.5,random,,reaction_role_concat,6144,random_forest,valid,r2,0.908993566605741
0.5,random,,reaction_role_concat,6144,random_forest,valid,spearman,0.9477216978885059
0.5,random,,reaction_role_concat,6144,random_forest,test,rmse,8.880818737719686
0.5,random,,reaction_role_concat,6144,random_forest,test,mae,6.118204065584861
0.5,random,,reaction_role_concat,6144,random_forest,test,r2,0.9004577516913692
0.5,random,,reaction_role_concat,6144,random_forest,test,spearman,0.9416886969545512
