search,seed,train_fraction,mae_baseline,mae_augmented,mae_delta_aug_minus_base,rmse_baseline,rmse_augmented,rmse_delta_aug_minus_base,r2_baseline,r2_augmented,r2_delta_aug_minus_base,spearman_baseline,spearman_augmented,spearman_delta_aug_minus_base
large_search,1,0.1,10.513744277920988,10.199134734101367,-0.31460954381962125,14.883098144184174,14.092705409607351,-0.7903927345768231,0.7204315715997038,0.7493370300527591,0.028905458453055255,0.8443472858710793,0.8611978851882122,0.01685059931713284
large_search,1,0.2,8.278635127001932,,,12.4617201901607,,,0.8039993891283472,,,0.8886089032812491,,
large_search,1,0.5,6.118204065584861,,,8.880818737719686,,,0.9004577516913692,,,0.9416886969545512,,
large_search,2,0.01,16.550916179022707,14.753745584073997,-1.7971705949487102,20.68056536152383,18.741875342173103,-1.9386900193507266,0.4199452432971553,0.5236016288579379,0.1036563855607826,0.7029881709700735,0.7396449202149571,0.0366567492448836
large_search,2,0.05,10.244078447893262,10.11159062763883,-0.13248782025443262,14.331114808580864,14.094730661786649,-0.23638414679421516,0.7214493806264612,0.7305626858484808,0.009113305222019585,0.8584009908781126,0.8650889231799362,0.006687932301823629
large_search,2,0.1,8.903939611971039,9.214045172399755,0.31010556042871684,12.428742500120634,12.81291329778299,0.38417079766235496,0.7904929900270639,0.7773411545421726,-0.013151835484891294,0.8982995657675791,0.8884388033949842,-0.009860762372594922
large_search,2,0.2,7.388461782068456,,,10.565779896696446,,,0.8485925320082873,,,0.927407194259926,,
large_search,2,0.5,5.227920574452163,,,7.69374918265114,,,0.9197176223094728,,,0.9591121099132092,,
large_search,3,0.01,18.968947937508123,16.692331140004097,-2.276616797504026,23.77310236097764,20.87624598953727,-2.896856371440368,0.2799442945581152,0.4447364230162006,0.16479212845808539,0.5503922950425927,0.6868538191079121,0.13646152406531942
large_search,3,0.05,11.153958847441457,11.262415671645842,0.10845682420438507,14.838119806132346,14.358801310877706,-0.4793184952546401,0.7194875625217979,0.7373177380674978,0.017830175545699878,0.8541249468079303,0.8619920447585337,0.007867097950603474
large_search,3,0.1,9.683216991282322,9.819249400521318,0.13603240923899662,13.692595252617505,13.29747921503562,-0.39511603758188407,0.7611276309090029,0.7747146165341813,0.01358698562517835,0.8720289501444871,0.8839502331847064,0.011921283040219333
large_search,3,0.2,8.019202007213325,,,11.661122593265356,,,0.8267492603183624,,,0.9011612431597418,,
large_search,3,0.5,5.576583093195739,,,8.33527426091497,,,0.9114814759756356,,,0.94952323233365,,
large_search,4,0.01,19.02167244643575,18.261068842612737,-0.7606036038230144,23.814272922587943,22.584969943983676,-1.2293029786042666,0.2745569008202,0.3475192029511489,0.0729623021309489,0.5892817566052866,0.6478487319542502,0.0585669753489636
large_search,4,0.05,11.99052657693474,11.7878275983743,-0.2026989785604414,15.709478216159292,15.409645116606995,-0.29983309955229664,0.6843162539541341,0.6962516168666194,0.011935362912485314,0.8407224708452423,0.8547354814880707,0.014013010642828339
large_search,4,0.1,10.24306725368054,10.182330601385445,-0.06073665229509473,13.890296800685636,13.765772973363338,-0.12452382732229772,0.7531962512627106,0.7576015120517748,0.004405260789064225,0.8677111355033881,0.8694830287443804,0.0017718932409923616
large_search,4,0.2,8.18071184447468,,,11.52915815305667,,,0.8299706501473912,,,0.9145637881909396,,
large_search,4,0.5,5.677790705318224,,,8.4713413617939,,,0.9082020324867496,,,0.951179887615473,,
ensemble_filter,0,0.01,16.58285757960093,14.706822547769606,-1.8760350318313233,20.647761063347748,18.481249756513833,-2.1665113068339146,0.4378381003093285,0.5496209830535117,0.11178288274418319,0.6653742905569467,0.7403753965570251,0.07500110600007837
ensemble_filter,0,0.05,11.242544205819415,10.72784050579926,-0.5147037000201546,15.410136141627056,14.838477348096031,-0.5716587935310251,0.6868672966357116,0.7096685036375839,0.02280120700187238,0.8294245698850661,0.8356384243115107,0.0062138544264446205
ensemble_filter,0,0.1,9.795814597937795,9.518728364586002,-0.2770862333517936,13.244520450773123,13.00880112014476,-0.23571933062836337,0.768693438378967,0.7768535280957338,0.00816008971676685,0.8676260090981126,0.8709302145691392,0.003304205471026611
ensemble_filter,0,0.2,7.902898399643223,,,10.971542583456078,,,0.8412729800955722,,,0.9027970068883124,,
ensemble_filter,0,0.5,5.868105352863369,,,8.377851642992928,,,0.9074490656919512,,,0.9427499368790724,,
ensemble_filter,1,0.01,17.172640177065677,17.08285425237935,-0.0897859246863284,21.92174929983237,21.536610534717095,-0.38513876511527556,0.39347061356082,0.4145953840330507,0.02112477047223066,0.7292631383111146,0.7163271011879756,-0.012936037123138955
